metric,value
raw_raster_mse,0.00431529153138
raw_raster_rmse,0.0656908786011
raw_raster_mae,0.00431529153138
psth_5ms_sse,1276
psth_10ms_sse,1376
psth_20ms_sse,1342
psth_50ms_sse,2322
psth_5ms_pearson_r,0.0212201677458
psth_10ms_pearson_r,0.0164701662502
psth_20ms_pearson_r,0.145533802854
psth_50ms_pearson_r,0.0186331745454
rcorr,0.0164701662502
psth_20ms_cosine_similarity,0.812971519214
split_half_data_20ms,0.193485326892
split_half_model_20ms,0.136175012749
noise_corrected_r_10ms,0.0465579239578
lifetime_sparseness_data_20ms,0.230683995482
lifetime_sparseness_model_20ms,0.2097939481
lifetime_sparseness_abs_error_20ms,0.0208900473817
firing_rate_abs_error_hz,1.07378959656
peak_rate_abs_error_hz,0
peak_latency_abs_error_ms,20
onset_responsiveness_abs_error,0.108273698734
offset_responsiveness_abs_error,0.00839109437133
