Parameter,Axis1_r_all,Axis2_r_all,Axis1_r_model,Axis2_r_model
STRF Gain,-0.00234659100948736,0.091471870484663,-0.0477784291340953,0.0804546032510212
STRF Latency,0.140922499060231,0.0099137174864716,0.0991090549061324,0.0488887951423883
Output Adaptation,-0.239862022904025,-0.0294224667373626,-0.215545873977968,-0.0400880949453314
On -> ROn gSYN,-0.100554567402372,-0.0671004986409957,-0.0747470929505623,-0.125484498602473
Off -> ROn gSYN,-0.153772323518844,0.116107111829537,-0.138194352804312,0.175069738916722
On -> SOnOff gSYN,0.0779445617869385,-0.134273882977896,0.102567927451473,-0.24082912025622
Off -> SOnOff gSYN,-0.124226021960006,0.0222313493684881,-0.104509043412529,0.100275993199045
SOnOff -> ROn gSYN,0.247808032721247,0.118654913892215,0.236866430400809,0.0806983083553199
