epoch,full_psth_sse_mean,full_psth_sse_best,best_batch_id,strf_gain_mean,strf_latency_mean_s,strf_gain_best_batch,strf_latency_best_batch_s,chunk_sse_mean,chunk_sse_sum,epoch_s,forward_s,backward_s,optimizer_s,top_plot_path,top_batch_ids
14,25202.833984375,3719.0,12,0.06319775432348251,0.032971251755952835,0.0940023735165596,0.02883623167872429,19.741835465667233,5883.066968768835,157.85784869990312,86.44057140196674,70.92024359945208,0.13943509967066348,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0014_top5.png,"12,4,22,6,15"
15,22352.93359375,3803.0,12,0.06315943598747253,0.03297393396496773,0.09336510300636292,0.02883562259376049,15.564206620490792,4638.133572906256,139.22086620004848,76.2178741984535,62.540563200600445,0.13155559985898435,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0015_top5.png,"12,4,22,15,6"
16,20611.533203125,3566.0,12,0.06312743574380875,0.03297685831785202,0.09286616742610931,0.028838373720645905,13.726398905951704,4090.466873973608,196.84654910000972,108.28718209988438,88.06523239705712,0.14018149743787944,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0016_top5.png,"12,15,6,4,22"
17,19567.80078125,3247.0,12,0.06309864670038223,0.032979920506477356,0.09237556159496307,0.02884979359805584,13.09015724912986,3900.866860240698,135.60274900007062,72.93762589991093,62.18854719819501,0.13679549912922084,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0017_top5.png,"12,15,6,4,22"
18,18728.033203125,3177.0,12,0.06307129561901093,0.03298157453536987,0.09186429530382156,0.028843291103839874,12.897204276199309,3843.366874307394,141.20395849994384,77.62822789954953,63.115618700161576,0.13087690225802362,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0018_top5.png,"12,15,6,4,22"
19,18153.267578125,3413.0,12,0.06304729729890823,0.032983530312776566,0.091464102268219,0.028845876455307007,12.738479422942904,3796.0668680369854,148.3125700999517,80.91144829872064,66.94337760377675,0.12966579850763083,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0019_top5.png,"12,15,6,4,22"
20,17533.666015625,3411.0,12,0.06301906704902649,0.032985273748636246,0.09098603576421738,0.02884557843208313,12.398882074144062,3694.8668580949306,375.50630889995955,206.80970549886115,167.89620670001023,0.1776600000448525,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0020_top5.png,"12,15,6,4,22"
21,17024.232421875,3411.0,12,0.06299293786287308,0.03298685699701309,0.09051444381475449,0.028849909082055092,12.189933471131646,3632.60017439723,387.5182316999417,214.0336383988615,172.67380349780433,0.17826869990676641,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0021_top5.png,"12,15,6,4,22"
22,16539.599609375,3413.0,12,0.0629609152674675,0.03299063816666603,0.08985918760299683,0.028919797390699387,11.904363085459543,3547.5001994669437,375.2693283997942,206.6077776979655,167.86226280033588,0.17877150187268853,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0022_top5.png,"12,15,6,4,22"
23,16118.6669921875,3275.0,12,0.062937431037426,0.032992370426654816,0.08950836211442947,0.02890893816947937,11.62830035688493,3465.2335063517094,378.0042465000879,209.00505039980635,168.19906570157036,0.17803700175136328,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0023_top5.png,"12,15,6,4,22"
24,15752.466796875,3270.0,12,0.06291145086288452,0.03299468010663986,0.08912588655948639,0.028920069336891174,11.367002805307408,3387.3668359816074,377.3038266999647,208.41789380111732,168.0782646019943,0.17834110045805573,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0024_top5.png,"12,15,6,4,22"
25,15380.7666015625,3404.0,12,0.06288804858922958,0.03299352526664734,0.0887896716594696,0.02884127013385296,11.139709784980589,3319.6335159242153,382.7369472999126,212.54385529761203,169.3866369021125,0.1789756000507623,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0025_top5.png,"12,15,6,4,22"
26,15112.099609375,3241.0,12,0.06284850090742111,0.03300033137202263,0.08795131742954254,0.029009206220507622,10.958277991054041,3265.5668413341045,378.25266220001504,208.73227439960465,168.71838340186514,0.17862920090556145,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0026_top5.png,"12,15,6,4,22"
27,14885.466796875,3205.0,12,0.06282900273799896,0.032998744398355484,0.08769208937883377,0.028907131403684616,10.744407658108928,3201.833482116461,382.4830035001505,212.31568549969234,169.36090979818255,0.17887869826518,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0027_top5.png,"12,15,6,22,4"
28,14716.7001953125,3407.0,12,0.0628037229180336,0.032996777445077896,0.08734796941280365,0.028780164197087288,10.67505651462398,3181.1668413579464,380.3313099001534,210.3516169001814,169.17496179882437,0.1786454995162785,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0028_top5.png,"12,15,6,22,4"
29,14552.2001953125,3248.0,12,0.06275177001953125,0.03300763666629791,0.0863945260643959,0.02901115082204342,10.623266797237749,3165.733505576849,379.78841009992175,210.00880679883994,168.97100100200623,0.17941000242717564,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0029_top5.png,"12,15,6,22,4"
30,14396.2998046875,3276.0,12,0.06271085143089294,0.03300928696990013,0.08571850508451462,0.029016917571425438,10.678188510689159,3182.1001761853695,378.1088229001034,208.98874309891835,168.32108750147745,0.1787145994603634,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\BackPropTorch\tbptt_testbench_results\tbptt_cell_007_batch_30_chunk_random_epoch_plots\tbptt_cell_007_batch_30_chunk_random_epoch_0030_top5.png,"12,15,6,22,4"
