unit_id,batch_index,best_batch,is_best_batch,layer,final_binned_sse,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,umap_1,umap_2
1,1,15,False,L2/3,5291.0,0.01148056599477309,0.009915060147847118,0.0031504439899928192,0.05944806037514343,0.05638046695908902,0.2295249142048096,0.1240198135778037,0.09844497782883325,10.36021,8.249574
1,2,15,False,L2/3,5439.0,0.0845411756793388,0.006242589448653648,0.01079422105555291,0.049370984588248186,0.030831514044875444,0.024531010368585543,0.0,0.27051254545488695,2.030963,9.671539
1,3,15,False,L2/3,4635.0,0.023227706554801848,0.034204047155100864,0.005779300645955925,0.02268721947554007,0.023526576123331026,0.0541095613584224,0.021351998958077708,0.03897925404196239,0.63275397,11.357605
1,4,15,False,L2/3,4521.0,0.03743702974314616,0.01290178897960035,0.0058114921515578484,0.026563702053228458,0.036241615283640206,0.014755424442524008,0.2135731837668809,0.2785692463959817,4.8320727,3.3116798
1,5,15,False,L2/3,5161.0,0.0814029519649893,0.007637685534693451,0.007546220301347472,0.04308298467878006,0.024358904316840114,0.29166599477934047,0.0,0.17789726921646137,7.337677,9.511548
1,6,15,False,L2/3,5760.0,0.04222994240377573,0.008363248849177564,0.007103170367686738,0.047372414247962624,0.03895814957352566,0.18928910233279972,0.10859372317833575,0.19350962138780262,7.6792645,7.143948
1,7,15,False,L2/3,5007.0,0.07710097730362882,0.0078103454802421896,0.009343949700768845,0.048274919350416015,0.028226887300598656,0.2879154551672124,0.0,0.18908244765889876,7.254648,9.510276
1,8,15,False,L2/3,5735.0,0.06885881546174089,0.006787862165966713,0.01023572112070856,0.03639266840500666,0.02807376710155001,0.015659394835254015,0.00029573949973501806,0.21695485051823232,2.0998268,9.746401
1,9,15,False,L2/3,15385.0,0.006117113828730548,0.009105156581004508,0.009178445045848102,0.11732884915260047,0.11870335283617604,0.2252745292112196,0.15121627782412184,0.12141049099261504,10.327202,3.9508996
1,10,15,False,L2/3,15887.0,0.006727012342283382,0.00916748857820167,0.0072807663128009285,0.08016615308125986,0.11404159936967573,1.2049225707858004e-05,0.24106054650813225,0.07188740589997561,6.571153,2.040781
1,11,15,False,L2/3,9002.0,0.011655861172232222,0.0090368585043162,0.004670858473327878,0.08130979291248319,0.06358467062450472,0.20173379794482052,0.22608702031157846,0.19942258012165348,8.033732,5.0627456
1,12,15,False,L2/3,5011.0,0.0438231173860364,0.030291429815621822,0.0033255499305270813,0.015540613791836886,0.005997697685960732,0.0,0.0,0.04558203032852534,0.68518144,11.332159
1,13,15,False,L2/3,14650.0,0.008892245609482412,0.007882788457688824,0.004501318400670642,0.07328222282801312,0.09922245044042723,0.009864637699719918,0.12455678072325843,0.1470453814238324,7.2137566,2.3525796
1,14,15,False,L2/3,6930.0,0.07010407477402124,0.007321242052290098,0.012661690002862032,0.03799556076740477,0.04936467458780386,0.03571436919034435,0.09482961286386515,0.22051033101464182,2.1516538,9.710864
1,15,15,True,L2/3,4344.0,0.02424031168139965,0.032937061630271006,0.011081851633946786,0.041366965700274184,0.030461103905538297,0.004776637948119323,0.0,0.22024948129893882,-0.0859148,10.606713
2,1,9,False,L2/3,2232.0,0.01161684046736936,0.006861428567601091,0.005370076886713596,0.039839214609912375,0.06703772339047762,0.16617797434322737,0.062002889650212785,0.21073271804654145,10.152355,6.090267
2,2,9,False,L2/3,4453.0,0.006175686915657061,0.0059523830415386435,0.009833533264152938,0.13068549774219054,0.08513474556541403,0.13303506709049803,0.039716935818374946,0.208215662753772,10.177433,5.684167
2,3,9,False,L2/3,2321.0,0.13986419426007873,0.04,0.0010941910053655127,0.0025373059205339187,0.002041440302263154,0.0,0.0,0.03344170937849782,-2.4744828,9.889955
2,4,9,False,L2/3,5031.0,0.005793478822250623,0.0060741132100140295,0.0027505113110321707,0.0958204440154465,0.12512936848710185,0.08700189323654016,0.05503910970181522,0.13058068050825175,11.606725,4.374061
2,5,9,False,L2/3,5096.0,0.006998050494205704,0.005175013966125419,0.005307523918493566,0.10341672903548607,0.13088995937885028,0.21120769060017236,0.24601806773927298,0.1312551643010773,9.805033,3.1698534
2,6,9,False,L2/3,1766.0,0.010604727883594222,0.006478753611072361,0.010627725260314472,0.06030153299034203,0.06810230760411758,0.12548719317842635,0.11403350888653738,0.12968349598483173,8.817302,6.0849094
2,7,9,False,L2/3,1880.0,0.012808744372774633,0.009346909666061718,0.0039045070089941537,0.012716925297339556,0.03550169869899425,0.011946962083362298,0.2593808638447416,0.2264067921773962,4.8768945,3.288636
2,8,9,False,L2/3,2105.0,0.005102213648023126,0.012408971226089874,0.0021706767230355705,0.02636162781076,0.0,0.2633508947687651,0.0,0.14134346747783064,8.0811,9.040683
2,9,9,True,L2/3,1590.0,0.04745816088695151,0.010892149851816227,0.008100166759298262,0.008317241185049446,0.0077856358502000535,0.007288373227916591,0.0011825018769853765,0.20906544816404415,1.6743616,9.693834
2,10,9,False,L2/3,3009.0,0.12039381469495791,0.03205982310781086,0.01029342896172521,0.0016905298998130744,0.0,0.0,0.0,0.15376242442721105,-1.8008175,9.814112
2,11,9,False,L2/3,1623.0,0.014407303869663738,0.00010156185107960857,0.0,0.17218819396174548,0.09839132563791336,0.21195816858149563,0.19725397093605232,0.2004113779777848,11.2673,5.2210717
2,12,9,False,L2/3,1663.0,0.028239074615828176,0.014512715259623324,0.003527649670205794,0.0054074286511614856,0.016532549748151194,0.0,0.1814985104024229,0.1937650162669857,4.3259635,3.4276433
2,13,9,False,L2/3,5010.0,0.013189207590204357,0.004711393778616998,0.011138429773040782,0.10559199859646234,0.04377383701393518,0.22199957692586172,0.060365671183921214,0.18278528843613923,9.285122,7.727472
2,14,9,False,L2/3,1654.0,0.04077934035222434,0.010824126412056516,0.009722363583236669,0.012927083417563046,0.010440741604545485,0.011332593276285637,0.0006614977356587386,0.07819434560695027,1.5692718,10.818981
2,15,9,False,L2/3,1943.0,0.05212716118504269,0.014942259621376262,0.008426959614949442,0.009639251780995492,0.01854962234572631,0.0010009074671584745,0.08201062617815852,0.19168917816800116,4.583111,3.768414
3,1,9,False,L5/6,1495.0,0.03932559200270516,0.012714728332194633,0.011957761401168747,0.01013156928156505,0.01319210277379666,0.2572566527638673,0.0,0.13307452839004658,8.215093,9.139169
3,2,9,False,L5/6,6853.0,0.004017662726357297,0.00924357492406774,0.005765607950561753,7.047834194612659e-06,0.11681784068264281,0.15820103571031838,0.08440518674587266,0.21273078676541018,8.4224615,3.5323663
3,3,9,False,L5/6,645.0,0.0062735907833080425,0.00010129507394185359,0.0026349916131750586,0.1191502484192167,0.14829769457462097,0.11562036996000516,0.11907208238966224,0.16274610430660247,11.634258,4.254293
3,4,9,False,L5/6,527.0,0.015169341982415551,0.002860704862117206,0.005818592135246735,0.05792228528300633,0.07394218713177916,0.22061803006963823,0.19930421703667042,0.033261037328212256,10.037884,2.4759524
3,5,9,False,L5/6,944.0,0.008080598465602067,0.003734640081628588,0.002599226647525255,0.0951609843885597,0.05294420365451573,0.1205089287905099,0.146611438231043,0.1541423745767526,11.09966,6.2258043
3,6,9,False,L5/6,633.0,0.1282632865026785,0.0399607530592614,0.011909297768371425,2.874964758599132e-08,0.00043469562822894047,0.0,0.0,0.2468085915452005,-1.5953948,9.220448
3,7,9,False,L5/6,1048.0,0.027940896708047846,0.0012564396686219372,0.005665343942813727,0.08367113092281836,0.12961239695025592,0.12850019754376746,0.11381429069363463,0.17868510186107592,10.802936,4.644091
3,8,9,False,L5/6,1734.0,0.019836250276653276,0.0023479375817985187,0.007176437823230384,0.11684687780197833,0.10564378532977228,0.19010891796866491,0.08440744910573224,0.12028063732666863,10.855251,4.09745
3,9,9,True,L5/6,475.0,0.006177752908517395,0.006338420890178401,0.007541080815027735,0.03717693622534001,0.0218629320075423,0.29746581628757807,0.23008978673559222,0.2709812927323319,8.457952,5.6327195
3,10,9,False,L5/6,633.0,0.015126068441414552,0.00016661940730218483,0.005621784292711189,0.039026384813931184,0.010446230347963653,0.22692727248426883,0.0,0.14645074699077254,8.078118,8.682428
3,11,9,False,L5/6,965.0,0.018812196154735037,0.0012224255649294939,0.0036024096408548323,0.13957796960205943,0.016533040664808818,0.14497307356174752,0.2130330905884059,0.21535940423418898,10.889455,6.622913
3,12,9,False,L5/6,1205.0,0.01048372994615092,0.0034229427195588366,0.002599554537553895,0.10503278301434765,0.06696708389682067,0.07668039058285528,0.1824239195076984,0.23932299270024657,11.058327,6.007268
3,13,9,False,L5/6,802.0,0.009839161854747579,0.006115236792989685,0.011997535438017194,0.0001319458005600922,0.06681435003930253,0.004518810254760491,0.1619584477522198,0.11953585523459928,5.7429442,2.4928212
3,14,9,False,L5/6,676.0,0.1133576365175693,0.04,0.010344195051437704,0.006393926127377067,0.0,0.0,0.0,0.18879103852648313,-1.9295323,9.389268
3,15,9,False,L5/6,2149.0,0.01289034470176121,0.0017636862839822966,0.00536165159291295,0.09522428984887059,0.1488923771846988,0.21985549438032725,0.2015340919890627,0.21737961696915328,11.181577,5.0951757
4,1,1,True,L5/6,774.0,0.01838343150195506,0.011331196941251516,0.002797943484764775,0.01550005667849372,0.003614897415238784,0.20051156400065942,0.0,0.15959683889994722,7.8453197,8.85511
4,2,1,False,L5/6,927.0,0.00028816133536559277,0.0037388311397805775,0.0011794227154580995,0.06248128026330831,0.14381479461293176,0.0,0.24419777351585434,0.04528906376047047,8.428165,1.9844542
4,3,1,False,L5/6,3312.0,0.013672835307341468,0.0029871727341998573,0.00897806552035539,0.10868098022502876,0.116305086663525,0.2545465436648571,0.23238678734645282,0.1676119394140277,9.172795,5.1584606
4,4,1,False,L5/6,1514.0,0.002004321438129978,0.006503373982164713,0.006346497685999133,0.13033458334513595,0.12669540748297892,0.06278181188524236,0.08691468027671871,0.1498450909219396,11.404157,4.4617643
4,5,1,False,L5/6,4163.0,0.05563087970157267,0.017565660452268067,0.012356463088634088,0.021648141976133697,0.00898332468820976,0.0,0.2807938745288368,0.1496710752500734,4.5376973,2.7819533
4,6,1,False,L5/6,881.0,0.040708109316952235,0.015039085549685045,0.009587654751357814,0.009112527724881265,0.002263850905310144,0.14236844664165327,0.0,0.07024802644623133,0.980916,10.744336
4,7,1,False,L5/6,1444.0,0.0012518498831697548,0.01308413498678009,0.006552251484272926,0.07830009074440772,0.11933307612111686,0.02125925818320377,0.11873567092432574,0.13320495218269776,7.165998,2.249796
4,8,1,False,L5/6,10493.0,0.00984238844740756,0.005026741319166283,0.002402289678147518,0.11073768150377648,0.00011966433143636183,0.2158486450569548,0.10044682412236083,0.13803760072412768,10.852158,7.677452
4,9,1,False,L5/6,1107.0,0.005611596720344453,0.007424240181199452,0.012432357435636013,0.06890162662214949,0.07497200421599585,0.33807220288048767,0.3077949016603902,0.06777130811048732,7.620711,6.1861467
4,10,1,False,L5/6,980.0,0.13335037986440454,0.04,0.012138522280126324,0.002869450518873014,0.00040265233710940824,0.0,0.03803104093360931,0.19678005233987073,-1.7749679,9.325695
4,11,1,False,L5/6,937.0,0.004699885173297893,0.006616573780951883,0.01239897892029443,0.08945091141848818,0.034418405628539886,0.2498407500562572,0.11782026174284913,0.1402773583325129,9.141208,7.625749
4,12,1,False,L5/6,928.0,0.040011143621982645,0.017898957347767957,0.006837124025297683,0.000710977914819211,0.0,0.0,0.0,0.08311256773778494,0.7367218,11.285433
4,13,1,False,L5/6,1804.0,0.002340734620380322,0.010041686784767967,0.008751611050626842,0.09647321512837352,0.11844904799477347,0.16280273790953245,0.18769633409546457,0.0936908734339604,10.328952,3.8646781
4,14,1,False,L5/6,1570.0,0.0032525367998785483,0.007227202511519898,0.0022928135746500466,0.0976396101197177,0.031022320002997927,0.2566494551898858,0.15921396135447127,0.038662541570952676,11.2471075,8.35925
4,15,1,False,L5/6,4201.0,0.014331046116696777,0.00523084905978594,0.008932855845921768,0.08611783831139823,9.123191064676032e-06,0.28071804177631327,0.2148971056010743,0.14595692267070443,8.420274,6.6863294
5,1,7,False,L2/3,8118.0,0.015274651534534939,0.003739799481338666,0.003405382749419716,0.0,0.12417974586050427,0.16306302537264705,0.13383252438914114,0.19353178866594845,8.296075,3.3379617
5,2,7,False,L2/3,514.0,0.00017796125207312648,0.011464939917979576,0.0038053864441804984,0.05511850948952465,0.14628371923523198,0.13525582249955675,0.08846171476938593,0.06842228692852408,8.85421,2.0286293
5,3,7,False,L2/3,496.0,0.015190095452766936,0.003545197360286683,0.005093568149926907,0.0026764783653797446,0.033801503560707456,0.009508746556248898,0.09770896065064408,0.13240937328160024,6.949884,2.9761164
5,4,7,False,L2/3,1173.0,0.008349688439633749,0.0024143155374112355,0.0040263304470176935,0.01965417865091953,0.12004949359911762,0.1523896442060209,0.08201857980688819,0.17615001916812742,8.34975,3.3421202
