unit_id,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,best_batch,layer,umap_1,umap_2
1,0.02424031168139965,0.032937061630271006,0.011081851633946786,0.041366965700274184,0.030461103905538297,0.004776637948119323,0.0,0.22024948129893882,15,L2/3,12.810497,0.05152018
2,0.04745816088695151,0.010892149851816227,0.008100166759298262,0.008317241185049446,0.0077856358502000535,0.007288373227916591,0.0011825018769853765,0.20906544816404415,9,L2/3,6.514093,2.4398103
3,0.006177752908517395,0.006338420890178401,0.007541080815027735,0.03717693622534001,0.0218629320075423,0.29746581628757807,0.23008978673559222,0.2709812927323319,9,L5/6,-3.4765675,1.8774134
4,0.01838343150195506,0.011331196941251516,0.002797943484764775,0.01550005667849372,0.003614897415238784,0.20051156400065942,0.0,0.15959683889994722,1,L5/6,0.007889966,0.45128626
5,0.01253331232733324,0.002480564920669104,0.00329397571633724,0.02457687153794589,0.05637473476893082,0.20478034930098601,0.13395701940611476,0.05182590857892544,7,L2/3,-1.8823233,4.775035
6,0.016865758504215532,0.007950147904390635,0.009181215988299258,0.012952556706536491,0.04442922835114227,0.0,0.29360207654010606,0.11417434049363408,14,L2/3,0.41633007,3.7921634
7,0.01587787861538319,0.008506353642521851,0.009042575437042084,0.046008766932619787,0.012192970918235957,0.25523319134146416,0.0742024194525721,0.09496994714804925,1,L4,-1.853247,0.24228127
8,0.027647528284362097,0.011681450982635155,0.00660637111246249,0.005035568277267107,0.010689895155680407,0.005847776214375403,0.18082184871396756,0.07310902442267275,9,L2/3,0.94506276,3.2040286
9,0.07989108595505556,0.010058901509595595,0.011860083329952613,0.02657776361852182,0.023696677441322395,0.098144478285889,0.0,0.2437314978695569,5,L2/3,6.465424,2.45832
10,0.1198173805813592,0.03379023105735509,0.0066949742074717015,2.9034401908204573e-05,0.013476210953936014,0.0,0.04613053143352291,0.07543013295338433,4,L2/3,12.661801,0.85253656
11,0.0005841619514111147,0.00010010642857144993,0.0017013760309320116,0.0,0.14652662115007722,0.17482535677810856,0.11922861500047349,0.17084441086805224,9,L2/3,-3.1295006,10.157119
12,0.03250401841654325,0.008727689251589902,0.010095571963402826,0.03610076039686662,0.05039094049773069,0.1321818389929672,0.050585541258840495,0.1463358932033324,9,L2/3,-1.4134202,1.0348444
13,0.00851994433960658,0.009019350155403071,0.012728713766518648,0.05383876046325102,0.03586302155773341,0.33553252428615615,0.22228982958809773,0.23552465635111958,14,L5/6,-3.4679973,1.913861
14,0.06420504277987225,0.026441616130974597,0.007082325691755201,0.00612307978142463,0.0026126852464028382,0.0,0.0,0.13257882066637003,13,L2/3,12.042336,0.5697128
15,0.07572248678092404,0.020442459056189674,0.009417646434718823,0.019416408798999044,0.004717430406127128,0.06151921957659805,0.0,0.35113699048202657,7,L2/3,8.877163,2.7795835
16,0.0001,0.003538187691464879,0.0005652777111428085,0.13030028717951891,0.03530779205181028,0.07881312305474193,0.0,0.21552048804781349,9,NaN,-0.32975522,1.1896585
17,0.02434196330657664,0.01125466994057585,0.008086098718710194,0.0,0.012428737438023285,0.00031533457142508055,0.34484093672190225,0.22548491921879685,7,NaN,0.80490726,4.1001167
18,0.00021807734766289482,0.006406813164090626,0.0,0.16342555410700088,0.13003229233584243,0.10791376810112799,0.11541436220835634,0.16801681885019834,11,L2/3,-4.1698804,9.084496
19,0.0735411979350908,0.020833337640090894,0.010649524559664903,0.025019789418218977,0.0106192579381111,0.12222133773121645,0.0,0.34309459501257417,9,L2/3,8.792567,2.8609455
20,0.0011751978435439261,0.0035707433763923885,0.0069454987040101016,0.14677930158348718,0.12448893337776427,0.2421692233567667,0.18387984340166127,0.040328215091058404,15,L5/6,-3.821946,9.60162
21,0.007428993750313835,0.007460000624970726,0.003885458289126125,0.0224592890788942,0.01910295170599466,0.22521809106498675,0.1574018296023341,0.13092876184891328,7,L4,-2.3125994,4.604272
22,0.00011694295676885317,0.0010552067052819372,0.0057042882465086625,0.03168924998839577,0.07387976949328516,0.09522982214618404,0.06549875902496849,0.1195745306900779,4,L5/6,-0.88710517,1.9306376
23,0.01410560443681498,0.00037232005634935496,0.003142105706361282,0.1508145758735557,0.1134219668910402,0.16376216462901289,0.1454098761683888,0.10261886691638833,3,L2/3,-3.8484356,9.563319
24,0.0002241407995216114,0.0017412975439102586,0.01784346507087328,0.08325105469298157,0.0011854690994831593,0.1389649968234242,0.1469784841430978,0.07530013734951578,11,L2/3,-4.9437656,3.1815274
25,0.01843194498201741,0.01610134697368086,0.009980010107851914,0.007772729635413212,0.00874353013542687,0.047167948698463386,0.2420375261238732,0.15947017796274368,9,L2/3,0.92441106,3.771869
26,0.05593362728957516,0.02712728830411237,0.011708996151259882,0.002941504842419295,0.0,0.09476497392460206,0.0,0.1890743688678523,3,L2/3,12.723318,0.28281534
27,0.06320751355470115,0.02554790188844185,0.003977265697166905,0.007274065644485348,0.0,3.798570845418446e-10,0.0,0.24404621416740183,2,L2/3,9.693426,2.094149
28,0.003339212799232022,0.012312337063658719,0.011529340500096906,0.022839674225902058,0.059084167526691676,0.09526479448492223,0.10578014632213478,0.16541533975658554,12,NaN,-0.752125,2.272545
29,0.015520367092768479,0.0027258725576890944,0.010784177748061365,0.03635252508123752,0.041607079192206894,0.20438042574239565,0.1414792009989796,0.21851858753663864,3,NaN,-3.3061674,2.1205723
30,0.008460499128035523,0.005607594271105433,0.008840212479587406,0.024646793114618197,0.0427677587904973,0.21153216087581142,0.25497578196349147,0.11515709640737137,3,NaN,-3.0454705,4.1670723
31,0.0018056804949259854,0.01502083191806184,0.00023352118370017865,0.03600722764084233,0.029181152145738885,0.15028656589749992,0.04937820389676689,0.2374538040162007,8,NaN,0.0069161598,0.7600587
32,0.03767479274849022,0.012115544438619851,0.012583219775509082,0.02203310594372724,0.025353358855236298,0.024307399474429774,0.17405865963521727,0.19984517208886995,14,NaN,0.9442028,3.7010956
33,0.030409342954231387,0.01602531577625109,0.00945685167504749,0.005322749112838114,0.006755352094140259,0.02422976195029685,0.25572537567212095,0.05695974780044078,3,L4,1.004388,3.3099854
34,0.0001,0.003768862985244503,0.0,0.13924217343342,0.10144171794786554,0.1545843472394548,0.172884800156889,0.23105345567054103,4,L2/3,-4.2455845,8.869609
35,0.04578235084895133,0.02316306864176025,0.008190353400719608,0.0005929105879280598,0.0,0.0,0.00021292798193426094,0.12066694929664805,1,L2/3,11.996618,0.29705146
36,0.01264264812941361,0.004841214701326191,0.004026757118473842,0.05690522098332865,0.0638532036162636,0.056233575012798305,0.14383292191619262,0.19838659423664703,3,L4,-0.5336769,1.8787637
37,0.0009456383359108159,0.016788888936073252,0.0005220714741076286,0.05269437342285721,0.054101637286653105,0.0646855011357327,0.032422136920683756,0.07672291107664407,2,L2/3,-0.5200388,1.5169771
38,0.004047529448013635,0.009030277513639006,0.0075696818782891445,0.0673116650430439,0.06567268906880308,0.17742286176655678,0.14246862387207818,0.15413404675091447,10,L2/3,-3.2898667,2.9337146
39,0.06610087371988946,0.024893541854048386,0.005864859550360032,0.009164982076286984,0.0,0.0,0.0,0.08579113144274303,14,L2/3,12.0072565,0.6415164
40,0.0026372731176608796,0.00939554223906066,0.011973767607106646,0.061935305694124004,0.10206090798939566,0.17781362300751932,0.1261667996264965,0.04666057344546119,15,L2/3,-1.3677382,2.4426906
41,0.013607617151847554,0.0037079655272876347,0.009552195232396445,0.02064631577368443,0.048722713733149965,0.01888844174300474,0.14308988185181074,0.08583042696943483,2,L2/3,-0.74227744,2.0844438
42,0.04815748514281475,0.022974659293708496,0.011682361731175716,0.022998009585555233,0.0037372247851080085,1.7919516793868894e-09,0.0,0.15936337599883407,14,L5/6,12.708732,0.1472622
43,0.11294015654396211,0.02688597952689222,0.026350827549793673,0.0,0.0,0.0,0.0,0.1702765932261319,7,NaN,12.650967,0.50122184
44,0.023153754013290194,0.01376040575393642,0.0034731579086094253,0.012841988240775027,0.0038420996378961026,0.41913292335067315,0.0,0.14042615214689558,15,L5/6,-2.7956643,0.15047695
45,0.011120131699413636,0.019254887222984195,0.011326459988462533,0.03050584771548303,0.016350163013921285,0.28509175598299596,0.0,0.28966599738759174,8,NaN,0.88739485,0.29702193
46,0.000101598041220324,0.002229385715291364,0.0008086303058838349,0.0015267157977325273,0.017314135920605704,0.09501441374204253,0.23035711943559148,0.2194153590005223,14,NaN,0.34068048,3.8834627
47,0.04247200067953063,0.021682585573366237,0.0024601724086035686,0.0070572684181270245,0.0,0.0035419821574117142,0.0,0.201702541983431,7,L5/6,9.782037,2.0086617
48,0.0008699684277578165,0.0001006647721399034,5.3136483998714006e-06,0.0220958199352026,0.1262836022841531,0.14258334040641785,0.1273336173431834,0.11022525682624883,4,L5/6,-3.196559,10.1208725
49,0.0001327797025732862,0.005080414256826135,0.0,0.170731097945215,0.1343341433459193,0.16945922400280652,0.0794085111527614,0.08173768248166681,14,L5/6,-4.015656,9.416899
50,0.012864919865255035,0.00010168258384277039,0.0,0.14541101887027977,0.1373589648452957,0.09869024723977815,0.04279234869803547,0.21787433666029626,14,L5/6,-4.3746424,8.595096
51,0.0001,0.007092729057806188,0.0,0.07342952181698231,0.05798645656510616,0.16116881638570357,0.1889978973816166,0.22185965441587746,13,L4,-2.7912042,3.0141187
52,0.010821481021617516,0.00903688971341559,0.008495168261170985,0.022595313260708533,0.02035993815493258,0.15900147125403655,0.37990355875854986,0.1285367288676536,7,L5/6,-2.7166264,4.5217013
53,0.007058416444890777,0.011161222703157838,0.006194340896092102,0.042902212493490216,0.047533359099395954,0.13612538303663724,0.24432435437348152,0.2134278078067532,2,L5/6,-2.5587108,3.3794522
54,0.0016643158744789046,0.004511170900429142,0.00499483388026561,0.1264194357512588,0.02391944424202491,0.16230571861283502,0.19766863317118724,0.0529490099858047,3,L4,-0.88843524,5.816201
55,0.008707046476952604,0.00010018482019171157,0.00031713814337667497,0.09093241599521677,0.13396982254327394,0.08280932094892539,0.21319223107956328,0.10475628335049601,15,L5/6,-3.4519343,9.952034
56,0.02505276140735076,0.020981696589161377,0.009003421774437685,0.016645735691054275,0.0039094222689613125,0.3019211811389746,0.16197473325878176,0.16750628350793284,6,L5/6,0.37089914,0.37316683
57,0.00010032625687376456,0.00010011554152472995,0.027718323018950275,0.1451091319322586,0.13777810335159302,0.057714544236660004,0.02580897882580757,0.05047910287976265,11,L2/3,-5.660071,3.1861684
58,0.040301272028115745,0.028085457102016185,0.008897973087783338,0.008996972791371651,0.028031901990546677,0.0,0.1865506054088579,0.12717535565299407,11,L2/3,1.2486517,3.8176243
59,0.005156610534419676,0.0001000251614479449,0.002986767694612668,0.13098607255554165,0.010365205740196804,0.15264902437793784,0.09289664091679538,0.046534054818902514,15,L5/6,-0.9177841,5.8115773
60,0.029805738231009463,0.011122302671750375,0.00886666990997376,0.025126068342630786,0.007389916564378433,0.21692907906963269,0.0,0.15172630460632763,14,L2/3,-0.15103142,0.27722627
61,0.009974188669461308,0.00424095873498721,0.005734804123180538,0.05487490264262807,0.005235787890952267,0.2995448535846213,0.00877376186424779,0.04753978369544732,12,L4,-1.9010842,0.11450166
62,0.002864594589373782,0.005791947436919067,0.00969520239857323,0.07417543511871495,0.11252847788813886,0.1287015015594137,0.14598813144230102,0.1921771242488479,7,L2/3,-3.6033282,2.5783617
63,0.061104070249586875,0.026602466587807534,0.0038506946046565934,0.006329361427155333,0.0028679066729860826,0.0,0.0,0.23659695181987134,8,L2/3,9.697504,2.0906029
64,0.009033686916768393,0.0037242634119405487,0.011033025760999465,0.029625344966802296,0.02489652865634384,0.003140586780426791,0.30511103676546153,0.1687529513559331,11,L4,0.43631417,3.6887095
65,0.0024817392987398273,0.011312988819078515,0.00398710899407427,0.03518940119501916,0.056915718995931494,0.00014088931844346726,0.16166121737265413,0.15177017272439317,14,L5/6,-0.5449338,1.925019
66,0.00045942520205898436,0.00010003471245327611,0.02481808305380243,0.13277271389961243,0.1638976945167942,0.1368195116519928,0.08097584037221896,0.14182038747827255,10,NaN,-5.6510434,3.1959689
67,0.0001,0.009625117448099678,4.170037832806725e-05,0.08991739531631891,0.02991627797690627,0.23189714777706819,0.013742372654928945,0.24278955050725634,2,L5/6,-0.11812788,0.88567024
68,0.023861557120666173,0.023859480085569502,0.003653434554027637,0.016601051275251157,0.00020401820683272113,0.16713505345265556,0.09940533594681687,0.21393672086805202,14,L5/6,0.3038683,0.25252604
69,0.05796681484573912,0.02188745713840274,0.0038440598041553312,0.001818807674798345,0.0001078893589785532,0.0,0.0002988658422244363,0.1740661385566478,9,L4,9.883765,1.9027177
70,0.006667240547028869,0.004456231116063605,0.01066278882560616,0.05011144036377877,0.0496711937720303,0.26047387910000736,0.014917688323957044,0.09685230376093154,4,L5/6,-1.8967865,0.101468265
71,0.00023109642859071925,0.0032524500059923234,0.0006958600306810729,0.13369319738020102,0.15582945063692724,0.10120737045722093,0.04814630138216014,0.06053121101301171,4,L4,-3.986937,9.448806
72,0.0005737794159837272,0.013090675900434742,0.010619583536849114,0.1060831557336136,0.08505210378155977,0.06816633950817104,0.06019495866666043,0.024298364708434977,2,NaN,-1.4630904,2.4907966
73,0.017763879724895078,0.0001192326736632923,0.007117772364093485,0.01633518644254128,0.0428005766050703,0.09014670377886526,0.010443210273876995,0.16070609745307302,2,NaN,-1.1325579,1.5656233
74,0.0035848418982153806,0.008788558562324179,0.009995416107605355,0.08067040985858581,0.04359590622378176,0.13100366995241897,0.017913503329648285,0.1743919039593589,2,NaN,-1.5767736,0.46219715
75,0.01939202151247639,0.002956324025357032,0.008454742873590725,0.05675032726062634,0.0589146404213774,0.1843312996858398,0.13950453250017375,0.1520704982284185,14,L5/6,-3.087745,3.034546
76,0.047579422802027836,0.026381043024630877,0.011304303500433809,0.044817054583299605,0.02404617818984363,0.0,0.0,0.16607403289041225,3,L5/6,12.777305,0.09533928
77,0.005552838587794854,0.010926367004550746,0.010280347723338232,0.01990151331100441,0.031209046813733654,0.4125706840810336,0.00015348637650677697,0.150033287450647,12,L4,-2.7202272,0.07841694
78,0.07165392873140075,0.022235326227464897,0.0019141686362260273,0.003253588700441584,0.0025640212183751627,0.0,0.0,0.05690464787374046,15,L4,12.042453,0.69341415
79,0.017441826981096052,0.022899248816933736,0.010623471422376561,0.02622826964405384,0.01235541082154833,0.010818072703861056,0.0,0.07841261600701697,13,L5/6,11.908956,0.17282976
80,0.0074538573947864045,0.00011413034293514226,0.0,0.12561017001928113,0.01376297976821661,0.08975106005081508,0.08931924402713776,0.06285977660240775,4,L5/6,-0.90245754,5.8259907
81,0.0014764952251038457,0.010883415261997277,0.011485905250765233,0.016560124706935124,0.030771342649119158,0.24260509925199597,0.17895467150355845,0.05426021115537661,2,L4,-3.194652,4.290664
82,0.0001000094043383966,0.004182506267243055,0.001905172841177521,0.10965198281413716,0.03182157231368748,0.20494995839422447,0.11271723825391547,0.04305164570568214,3,L2/3,-0.83534133,5.765444
83,0.02206662661921646,0.012775901392740582,0.008127419737310017,0.012895517996077943,0.012703995516827151,0.12818704160153138,0.1673325744312588,0.11474095072630881,8,L4,0.98257595,3.2011468
84,0.044865709626982914,0.02158420328796405,0.005654448218589084,0.018000508674746493,0.0,0.14364989528024477,0.02117617695557347,0.190347136051397,5,L5/6,0.32480428,0.023054041
85,0.07984785405206453,0.0068022448582513925,0.012922905418439021,0.041991572124991945,0.02702898029202051,0.14033534969232406,0.0004913450144788745,0.27362365354395307,2,L5/6,6.4306464,2.4433863
86,0.008813372963733974,0.0007773772544245689,0.002012321511409524,0.06234502151426017,0.15722343487396107,0.14406029261358783,0.21402841427616776,0.10641594430177266,10,L4,-3.4370832,9.963953
87,0.0001000000087400308,0.00010000000352394281,0.0,0.17805391277239918,0.12876439094543457,0.10348440979788599,0.18685492873191833,0.19943575595571428,4,NaN,-4.3101015,8.867121
88,0.0016907194590648207,0.014340214583505541,0.01111120452600515,0.07009418204912178,0.04451143360678902,0.24294399527333668,0.00336599310288035,0.0882570822865771,11,NaN,-2.0161963,0.17714562
89,0.01712060453553834,0.018299568036831842,0.005962620997280401,0.0009491571329055539,0.013351767914742194,0.0,0.3286863963685954,0.23739957393569253,3,NaN,0.9321337,4.1508827
90,0.0037234643182803683,0.014539229972986342,0.004842853102171602,0.03195375114417347,0.05218798580874019,0.03100913626277283,0.1350411161298164,0.2157529481972869,13,L5/6,-0.4243526,1.904856
91,0.04458881321315506,0.02548930836069841,0.011600304682341689,0.008530732461027632,0.0006898825734824713,0.0,0.0,0.08022216453442511,4,L5/6,11.784688,0.25580108
